,word,score
326,secure,0.25
327,proud,0.125
328,refused,-0.375
329,agent,0.5
330,Justice,0.25
331,disease,0.125
332,patient,0.125
333,Hospital,0.25
334,considering,0.125
335,trouble,-0.25
336,extremely,0.625
337,confident,0.375
338,doubt,0.125
339,nature,0.5
340,leads,0.125
341,opinion,-0.625
342,faced,-0.5
343,web,0.25
344,intelligence,0.5
345,contracts,0.25
346,fit,-0.5
347,assists,0.5
348,connection,-0.125
349,explained,0.25
350,accept,0.125
351,standing,0.125
352,Young,-0.125
353,aware,0.5
354,supported,0.125
355,chances,0.5
356,dangerous,-0.75
357,worse,-0.625
358,falling,0.125
359,favor,0.125
360,truck,0.25
361,effects,-0.125
362,tests,0.125
363,behavior,0.25
364,defeat,-0.25
365,bigger,0.125
366,catch,-0.5
367,welcome,0.25
368,ideas,0.125
369,reform,0.125
370,Education,0.25
371,assistance,0.5
372,interesting,0.125
373,researchers,1.0
374,limit,-0.125
375,eyes,0.25
376,alternative,-0.125
377,manage,0.125
378,negative,-0.25
379,Jr.,-0.375
380,Black,-0.375
381,replace,-0.5
382,surprise,0.125
383,broken,0.125
384,plenty,-0.375
385,easier,0.375
386,pain,-0.75
387,talent,0.125
388,wish,0.5
389,apparently,0.375
390,speaking,0.125
391,practices,0.125
392,thanks,0.125
393,improvement,0.375
394,accepted,0.125
395,abuse,-0.625
396,unable,-0.75
397,warning,-0.125
398,encourage,0.125
399,Like,0.125
400,conduct,0.25
401,suspended,-0.375
402,roads,-0.25
403,backed,0.375
404,promote,0.125
405,influence,0.25
406,cold,-0.125
407,scale,-0.25
408,civil,0.125
409,races,0.125
410,Matt,-0.25
411,voting,0.125
412,Will,0.125
413,otherwise,-0.25
414,executives,0.25
415,appropriate,0.125
416,excellent,1.0
417,rescue,0.125
418,sending,-0.125
419,feels,0.125
420,numerous,-0.125
421,awarded,0.125
422,realize,0.375
423,justice,0.25
424,expensive,0.5
425,improving,0.375
426,fraud,-0.25
427,animals,-0.375
428,dedicated,0.125
429,sets,0.125
430,investigators,1.0
431,Global,-0.375
432,disaster,-0.375
433,assist,0.5
434,shared,0.125
435,fill,-0.375
436,giant,-0.25
437,please,0.625
438,exciting,-0.125
439,Yet,0.25
440,innovative,0.5
441,agents,0.5
442,captain,0.375
443,securities,0.375
444,surprised,0.125
445,Securities,0.375
446,worried,-0.25
447,threatened,-0.125
448,younger,-0.375
449,scheme,0.125
450,impressive,0.125
451,Financial,0.25
452,initiative,0.375
453,stronger,0.5
454,famous,0.375
455,acquired,0.125
456,goods,0.5
457,comfortable,-0.75
458,replaced,-0.5
459,matters,-0.125
460,hospitals,0.25
461,opponents,-0.125
462,suffering,-0.375
463,compensation,-0.25
464,guilty,-0.5
465,truly,0.625
466,scores,-0.25
467,busy,0.375
468,weak,-0.375
469,rare,0.25
470,importance,0.625
471,waste,0.125
472,suspected,-0.25
473,watched,0.125
474,estimate,-0.25
475,obviously,0.5
476,invited,0.125
477,cool,-0.125
478,fixed,-0.125
479,enable,0.375
480,severe,-0.875
481,Several,-0.5
482,lowest,-0.125
483,secret,-0.25
484,greatest,0.875
485,worry,0.25
486,adds,0.5
487,Please,0.625
488,lots,-0.25
489,priority,-0.25
490,Oil,-0.125
491,unlikely,-0.625
492,causing,-0.25
493,maintenance,0.5
494,effectively,0.375
495,upset,-0.5
496,friendly,0.125
497,Yes,0.25
498,actual,-0.375
499,investigating,0.125
500,asset,0.625
501,truth,0.625
502,enjoyed,0.375
503,Security,0.375
504,enterprise,0.125
505,animal,-0.375
506,granted,0.375
507,beautiful,0.75
508,absolutely,0.5
509,Best,0.25
510,amazing,-0.25
511,fears,-0.875
512,demands,-0.25
513,seriously,0.25
514,districts,0.25
515,aggressive,0.5
516,alive,0.125
517,suspects,0.25
518,dark,-0.375
519,submitted,0.125
520,maximum,-0.25
521,dispute,-0.25
522,corruption,0.25
523,reserve,0.875
524,originally,0.125
525,Championship,-0.125
526,sharing,-0.375
527,complaint,-0.25
528,realized,0.375
529,crucial,0.25
530,capabilities,0.5
531,acknowledged,0.125
532,Giants,-0.25
533,criticism,-0.5
534,usual,0.125
535,improvements,0.375
536,Of_course,-0.125
537,Such,-0.125
538,stolen,-0.5
539,complaints,-0.25
540,terror,-0.5
541,law_enforcement,-0.125
542,successfully,0.125
543,consistent,0.25
544,explain,0.25
545,guess,-0.125
546,colleagues,-0.125
547,capable,0.125
548,limits,-0.125
549,eligible,0.5
550,reputation,0.5
551,gap,0.125
552,unemployment,-0.625
553,wear,-0.25
554,recommended,-0.125
555,minimum,-0.125
556,rookie,-0.25
557,performances,0.125
558,disappointed,-0.25
559,fallen,0.125
560,wonderful,0.75
561,criticized,-0.25
562,essential,-0.125
563,damaged,-0.75
564,qualified,0.625
565,specifically,0.375
566,loved,0.5
567,dozens,-0.25
568,typically,0.125
569,encouraged,0.125
570,momentum,0.125
571,processing,0.25
572,expertise,0.375
573,healthcare,0.25
574,neither,-0.25
575,Academy,-0.125
576,failing,-0.375
577,E,0.375
578,reserves,-0.625
579,violent,0.125
580,danger,-0.5
581,apart,0.5
582,gift,0.25
583,warm,0.25
584,likes,0.125
585,Ben,0.125
586,shoot,0.125
587,Medical,0.125
588,pending,0.125
589,threatening,-0.125
590,mistake,-0.625
591,blame,-0.5
592,proper,0.75
593,captured,-0.125
594,vital,0.5
595,territory,0.25
596,recognition,-0.125
597,initiatives,0.375
598,finishing,-0.125
599,gay,0.125
600,roughly,0.25
601,tested,0.375
602,strategies,0.125
603,contribute,0.25
604,delayed,0.125
605,runner,-0.25
606,questioned,0.75
607,Test,0.125
608,civilians,-0.25
609,obvious,0.5
610,smart,-0.625
611,forget,0.25
612,founder,-0.125
613,gotten,0.125
614,opponent,-0.125
615,Little,-0.25
616,submit,0.125
617,century,0.125
618,honored,0.375
619,affairs,0.5
620,desire,-0.125
621,RBI,0.125
622,recommendations,0.25
623,Red,-0.375
624,Ontario,0.125
625,ease,-0.125
626,wonder,0.75
627,strongly,0.125
628,classic,0.75
629,managing,0.125
630,blamed,-0.25
631,insisted,-0.25
632,elements,-0.375
633,charity,0.5
634,blocked,-0.375
635,saved,0.5
636,immigration,-0.25
637,impossible,0.125
638,exposure,-0.125
639,controversial,0.5
640,harder,-0.75
641,stress,0.125
642,false,-0.75
643,dramatic,0.5
644,collapse,-0.25
645,error,-0.625
646,unusual,-0.5
647,stability,0.5
648,inspired,0.125
649,Good,0.5
650,Duke,0.5
651,restrictions,0.25
652,knowing,-0.125
653,fix,-0.5
654,emotional,0.375
655,annually,-0.25
656,totally,0.5
657,opinions,-0.625
658,beaten,0.125
659,reasonable,0.5
660,poverty,-0.625
661,properly,0.25
662,lucky,0.75
663,differences,-0.375
664,Love,0.625
665,regularly,0.125
666,subscribers,0.125
667,compliance,0.625
668,trucks,0.25
669,yes,0.25
670,mistakes,-0.625
671,speculation,-0.125
672,finds,0.625
673,encouraging,0.125
674,entirely,0.5
675,blast,-0.125
676,availability,0.375
677,wild,-0.25
678,awareness,0.5
679,correct,0.25
680,tend,0.375
681,Having,0.25
682,resistance,-0.75
683,demanding,-0.25
684,doubled,0.125
685,runners,-0.25
686,defined,0.375
687,administrative,0.25
688,taught,0.5
689,qualify,0.625
690,privacy,0.375
691,spots,-0.5
692,Speaking,0.125
693,sanctions,0.25
694,degrees,-0.25
695,resolve,0.5
696,sexual,0.25
697,typical,0.125
698,consideration,0.25
699,civilian,-0.25
700,fairly,-0.125
701,imagine,-0.5
702,demanded,-0.25
703,Unfortunately,-0.875
704,fail,-0.125
705,acquire,0.125
706,secured,0.25
707,attractive,0.875
708,intense,-0.125
709,protected,-0.75
710,talented,0.5
711,permission,0.125
712,Administration,0.375
713,promoting,0.125
714,disappointing,-0.25
715,hopefully,0.5
716,victories,0.375
717,fantastic,0.375
718,pack,-0.25
719,thoughts,0.125
720,enables,0.375
721,ranging,0.125
722,championships,-0.125
723,unknown,-0.125
724,surge,-0.25
725,focusing,0.125
726,donated,0.625
727,reliable,0.375
728,sustainable,0.625
729,unclear,0.25
730,liked,0.125
731,accurate,0.5
732,Read,0.25
733,mom,0.875
734,tons,-0.25
735,forcing,0.25
736,apparent,0.625
737,reforms,0.125
738,basically,0.5
739,exposed,0.125
740,Ms,-0.125
741,dialogue,0.25
742,luxury,0.125
743,dates,0.125
744,vulnerable,0.125
745,complained,-0.75
746,Memorial,0.375
747,virtually,-0.125
748,strikes,-0.125
749,tourists,-0.25
750,sad,-0.625
751,prominent,0.125
752,Josh,-0.375
753,shock,-0.75
754,scandal,-0.125
755,explains,0.25
756,Don,0.125
757,lifted,-0.125
758,honest,0.375
759,passion,0.5
760,master,0.625
761,answered,-0.25
762,soft,-0.25
763,honors,0.5
764,trillion,-0.125
765,deadly,-0.5
766,succeed,0.125
767,rely,0.375
768,preferred,0.875
769,consistently,0.25
770,delighted,0.625
771,e,0.375
772,routine,0.25
773,anonymity,-0.125
774,resigned,-0.25
775,convinced,0.125
776,legs,0.25
777,Given,-0.125
778,cheap,-0.25
779,bright,0.125
780,comeback,-0.125
781,offset,0.125
782,harm,-0.625
783,protecting,-0.75
784,rated,-0.125
785,upper,0.375
786,viewed,0.125
787,afraid,-0.5
788,hardly,0.125
789,bonus,0.375
790,hate,-0.25
791,errors,-0.625
792,Chamber,-0.125
793,belief,0.125
794,crazy,-0.375
795,assume,-0.375
796,sufficient,-0.625
797,barely,0.125
798,sharply,0.5
799,Yahoo,-0.625
800,averaged,-0.625
801,flexibility,0.125
802,extreme,0.125
803,backup,-0.5
804,faculty,0.125
805,optimistic,0.25
806,Lawrence,-0.25
807,handful,-0.125
808,broader,0.125
809,regardless,-0.625
810,abandoned,-0.125
811,birds,-0.125
812,conviction,-0.625
813,essentially,0.5
814,everywhere,0.375
815,understood,0.375
816,constant,-0.25
817,worries,0.25
818,Obviously,0.5
819,fitness,0.5
820,diverse,0.125
821,burden,-0.875
822,controversy,0.125
823,troubled,-0.125
824,flooding,0.375
825,productivity,0.125
826,democratic,0.375
827,automatically,0.375
828,plea,-0.125
829,modest,0.125
830,calm,0.375
831,Warren,0.125
832,loose,0.375
833,nervous,0.125
834,agriculture,0.125
835,prefer,0.875
836,hero,0.375
837,surprising,0.125
838,diabetes,0.125
839,anger,0.375
840,incentives,0.25
841,pride,0.625
842,equally,-0.125
843,robbery,-0.25
844,comparison,-0.25
845,gifts,0.25
846,burned,-0.125
847,extraordinary,0.625
848,Neither,-0.25
849,minds,0.125
850,Wildcats,-0.375
851,virtual,0.5
852,badly,-0.25
853,beauty,0.5
854,Rob,-0.5
855,excess,0.125
856,robust,-0.375
857,highlight,0.125
858,soil,-0.125
859,deserve,0.625
860,rarely,-0.125
861,peaceful,0.25
862,elite,0.25
863,liability,0.25
864,outdoor,0.125
865,somewhere,-0.625
866,Ed,-0.5
867,displayed,0.125
868,dramatically,0.375
869,ill,-0.25
870,highlights,0.125
871,bunch,-0.125
872,constantly,-0.125
873,decent,0.875
874,Pat,0.125
875,nominated,0.375
876,Executive,0.25
877,averaging,-0.625
878,wider,0.125
879,shocked,0.375
880,RBIs,0.125
881,recommendation,0.25
882,pet,-0.125
883,popularity,0.625
884,tragedy,-0.5
885,welfare,0.125
886,Investigators,1.0
887,Contact,0.375
888,wore,-0.25
889,dynamic,0.5
890,attached,0.125
891,tone,-0.125
892,joint_venture,0.25
893,reception,0.5
894,promoted,0.125
895,memorial,0.375
896,complicated,-0.125
897,smile,0.125
898,checked,0.5
899,adjusted,0.125
900,sweep,0.375
901,amendment,-0.125
902,Plus,0.625
903,sorry,-0.625
904,Masters,0.375
905,diagnosed,0.5
906,enabling,0.375
907,terrible,-0.625
908,Classic,0.75
909,reward,0.625
910,vast,-0.125
911,affair,-0.125
912,enjoying,0.375
913,respective,0.25
914,recommend,-0.125
915,admits,0.125
916,satisfied,0.5
917,practical,0.125
918,Make,0.5
919,unlike,-0.5
920,sudden,-0.5
921,careful,0.5
922,wanting,0.25
923,desperate,-0.25
924,Further,0.375
925,Enterprise,0.125
926,oldest,0.375
927,Friends,0.125
928,connections,-0.125
929,comfort,-0.5
930,Unlike,-0.5
931,raid,-0.125
932,innocent,0.125
933,Agriculture,0.125
934,sentiment,-0.125
935,cheaper,-0.25
936,Cubs,-0.25
937,flu,0.5
938,yellow,-0.25
939,accuracy,0.5
940,Hope,0.125
941,loves,0.625
942,Hopefully,0.5
943,matched,0.375
944,insists,-0.25
945,reviews,0.125
946,capability,0.5
947,vice,0.25
948,weakness,-0.375
949,flexible,0.375
950,deny,-0.875
951,presidency,0.25
952,admit,0.125
953,emphasis,0.75
954,wages,0.625
955,hopeful,0.125
956,releases,0.125
957,superior,0.75
958,mental,0.125
959,Thanks,0.125
960,Red_Cross,-0.25
961,Review,0.125
962,ambassador,0.375
963,difficulties,-0.5
964,fault,-0.625
965,Foreign,-0.125
966,damages,-0.125
967,profitable,0.25
968,nursing,-0.375
969,tsunami,-0.5
970,respected,0.5
971,violated,-0.25
972,affecting,0.125
973,H,-0.25
974,accidents,-0.75
975,tougher,-0.75
976,standings,0.125
977,evaluation,0.125
978,conservation,-0.25
979,comparable,0.5
980,feared,-0.5
981,unexpected,-0.25
982,favorable,0.75
983,lighting,-0.125
984,feelings,0.375
985,Safety,0.125
986,withdrawal,-0.125
987,brilliant,0.875
988,custom,0.375
989,priorities,-0.25
990,favorites,0.25
991,venture,0.125
992,Gray,-0.125
993,booked,0.125
994,Cole,-0.625
995,survivors,-0.125
996,integrity,0.625
997,unchanged,-0.625
998,ignored,-0.5
999,focuses,0.125
1000,skill,0.25
1001,visible,0.125
1002,steal,0.5
1003,Auburn,-0.125
1004,deemed,0.25
1005,fatal,-0.375
1006,mess,-0.125
1007,deeper,0.125
1008,enabled,0.375
1009,sections,0.125
1010,Looking,0.125
1011,everyday,0.125
1012,highs,0.125
1013,chamber,-0.125
1014,checking,0.5
1015,hidden,-0.125
1016,declining,-0.25
1017,trainer,-0.25
1018,blew,-0.375
1019,crack,0.125
1020,withdraw,-0.375
1021,tap,0.125
1022,arguing,0.125
1023,safely,0.375
1024,incentive,0.25
1025,fake,-0.375
1026,catches,-0.5
1027,disabled,-0.125
1028,strange,0.25
1029,sophisticated,0.125
1030,span,0.375
1031,Dodgers,-0.375
1032,immigrants,-0.125
1033,diseases,0.125
1034,Reds,-0.375
1035,accepting,0.125
1036,accessible,0.625
1037,actively,0.5
1038,illegally,0.25
1039,personality,-0.125
1040,debris,-0.375
1041,fines,-0.125
1042,replied,-0.25
1043,burn,-0.625
1044,battling,-0.25
1045,exceptional,0.125
1046,strongest,0.5
1047,perfectly,0.5
1048,Section,0.125
1049,blaze,0.375
1050,rid,0.5
1051,editorial,0.125
1052,prevented,0.25
1053,uncertain,0.125
1054,slight,-0.125
1055,greatly,0.125
1056,torture,-0.625
1057,trapped,-0.375
1058,difficulty,-0.5
1059,physically,-0.125
1060,specialty,0.25
1061,weaker,-0.375
1062,insight,0.125
1063,fined,-0.125
1064,diet,-0.125
1065,newest,0.375
1066,accommodate,0.75
1067,executed,0.125
1068,stunning,-0.125
1069,suspicious,-0.625
1070,profitability,0.75
1071,suitable,0.125
1072,chips,0.125
1073,dying,-0.625
1074,Randy,0.625
1075,frustration,-0.125
1076,surely,0.25
1077,drought,0.125
1078,spectacular,0.125
1079,hell,-0.375
1080,tribute,0.625
1081,meaningful,0.125
1082,prestigious,0.75
1083,treatments,-0.5
1084,Digital,0.125
1085,enterprises,0.125
1086,rises,0.25
1087,productive,0.625
1088,unity,0.625
1089,infected,0.125
1090,sporting,0.125
1091,disappeared,-0.5
1092,acceptable,0.625
1093,donate,0.625
1094,considers,0.125
1095,matching,0.375
1096,commitments,0.5
1097,diversity,-0.125
1098,painful,-0.625
1099,convince,0.125
1100,Medicaid,-0.125
1101,blown,-0.375
1102,Harry,-0.125
1103,odd,0.125
1104,showcase,0.125
1105,manages,0.125
1106,contributing,0.25
1107,caution,0.375
1108,grateful,0.25
1109,understands,0.375
1110,accordance,-0.375
1111,fortunate,0.75
1112,respondents,-0.375
1113,preventing,0.25
1114,majors,0.125
1115,disappointment,-0.75
1116,cautious,0.375
1117,ethics,-0.25
1118,oversight,-0.375
1119,doubts,0.125
1120,killer,-0.375
1121,neutral,-0.125
1122,joy,0.25
1123,praise,1.0
1124,wishes,0.5
1125,Championships,-0.125
1126,Riley,0.375
1127,depression,-0.375
1128,instruments,0.5
1129,surplus,0.125
1130,occupied,0.375
1131,inappropriate,-0.625
1132,warnings,-0.125
1133,compare,0.25
1134,unfortunate,-0.25
1135,deserves,0.625
1136,ambitious,0.375
1137,lone,-0.125
1138,assumed,-0.375
1139,scared,0.375
1140,evil,0.75
1141,excessive,-0.375
1142,counted,-0.125
1143,Peace,0.125
1144,threaten,-0.125
1145,valid,0.125
1146,criminals,-0.25
1147,heritage,0.125
1148,ignore,-0.5
1149,substantially,0.125
1150,poised,-0.125
1151,loud,0.25
1152,awesome,0.75
1153,appreciation,0.5
1154,drops,0.125
1155,resign,-0.25
1156,helpful,0.25
1157,elementary,-0.25
1158,devoted,0.125
1159,MVP,0.125
1160,wealthy,-0.25
1161,effectiveness,0.25
1162,Broncos,-0.375
1163,genuine,-0.272
1164,fails,-0.125
1165,strict,0.125
1166,wondering,0.375
1167,Democratic_Party,0.125
1168,enthusiasm,-0.25
1169,trash,-0.125
1170,Bruins,0.125
1171,inspiration,0.125
1172,alternatives,-0.125
1173,pose,-0.375
1174,contests,0.25
1175,awaiting,-0.25
1176,facilitate,0.375
1177,slump,0.25
1178,strikeouts,-0.25
1179,movements,-0.125
1180,bonuses,0.375
1181,confirmation,0.375
1182,medication,0.25
1183,rescued,0.5
1184,joke,0.375
1185,jewelry,0.125
1186,Challenge,0.125
1187,dedication,0.875
1188,nowhere,-0.25
1189,legendary,0.875
1190,Race,0.125
1191,alike,0.25
1192,endorsed,0.375
1193,mystery,0.25
1194,Boys,0.25
1195,default,-0.125
1196,loyal,0.5
1197,condemned,-0.25
1198,concentrate,0.125
1199,chaos,-0.25
1200,revolution,0.125
1201,finishes,-0.125
1202,adjustments,0.5
1203,contacts,0.375
1204,bounce,0.125
1205,Troy,-0.125
1206,turmoil,-0.625
1207,jazz,0.125
1208,outbreak,-0.125
1209,forgotten,0.25
1210,favored,0.375
1211,functionality,0.625
1212,deserved,0.625
1213,acknowledge,0.125
1214,hardest,-0.75
1215,strengthening,0.125
1216,reluctant,-0.5
1217,craft,0.125
1218,influential,0.125
1219,violate,-0.25
1220,chat,-0.375
1221,vacant,0.125
1222,pure,0.25
1223,seemingly,0.375
1224,transparency,0.125
1225,optimism,0.375
1226,Major_League,0.125
1227,excellence,0.625
1228,bird,-0.125
1229,incredibly,-0.5
1230,beliefs,0.125
1231,consultation,0.125
1232,tragic,-0.625
1233,adventure,0.25
1234,reaches,0.25
1235,reject,-0.5
1236,evident,0.625
1237,gray,-0.125
1238,steals,0.5
1239,violating,-0.25
1240,Heritage,0.125
1241,explaining,0.25
1242,Greater,0.25
1243,casualties,-0.75
1244,Training,0.125
1245,differently,0.25
1246,loving,0.5
1247,confusion,-0.375
1248,adjust,0.125
1249,embrace,0.125
1250,absolute,-0.25
1251,bone,-0.125
1252,reliability,0.625
1253,sizes,-0.25
1254,define,0.375
1255,outing,-0.125
1256,intelligent,0.25
1257,Down,0.125
1258,battled,-0.25
1259,schemes,0.125
1260,prompting,-0.25
1261,breakthrough,0.625
1262,triumph,0.375
1263,clearing,-0.375
1264,excuse,-0.25
1265,Hornets,-0.125
1266,Sure,-0.25
1267,Titans,0.125
1268,refusing,-0.375
1269,graduation,0.125
1270,Redskins,-0.25
1271,securing,0.25
1272,couples,-0.125
1273,Jazz,0.125
1274,panic,-0.5
1275,Wild,-0.25
1276,denies,-0.875
1277,viable,0.375
1278,harsh,-0.625
1279,supportive,0.125
1280,hat,-0.25
1281,stupid,-0.125
1282,arranged,0.125
1283,advantages,0.625
1284,worthy,0.5
1285,shame,-0.75
1286,quietly,-0.375
1287,benefited,0.375
1288,complain,-0.75
1289,inevitable,-0.125
1290,desert,-0.125
1291,entertaining,0.125
1292,willingness,0.125
1293,courage,-0.125
1294,Due,0.375
1295,perceived,0.375
1296,satisfaction,-0.375
1297,silent,-0.25
1298,GAAP,0.125
1299,tourist,-0.25
1300,applicable,0.5
1301,Says,0.125
1302,freed,0.375
1303,fantasy,-0.5
1304,reads,0.25
1305,universal,-0.125
1306,lifting,-0.125
1307,Lynch,-0.125
1308,brutal,-0.625
1309,renowned,0.375
1310,woes,-0.875
1311,troubles,-0.25
1312,damaging,-0.75
1313,random,0.125
1314,Easter,-0.125
1315,upgraded,0.5
1316,loses,-0.5
1317,browser,-0.5
1318,researcher,1.0
1319,accessories,-0.375
1320,setback,-0.25
1321,alarm,0.125
1322,apologized,-0.625
1323,GE,0.125
1324,unfortunately,-0.875
1325,Amazon,0.125
1326,ethanol,-0.125
1327,enjoys,0.375
1328,ugly,-0.375
1329,Add,0.5
1330,drunk,0.125
1331,inability,-0.125
1332,risky,0.125
1333,worn,-0.25
1334,inspectors,0.25
1335,convenient,0.375
1336,dirty,-0.75
1337,unemployed,-0.25
1338,Private,0.125
1339,disputes,-0.25
1340,veto,-0.125
1341,expired,0.125
1342,implied,-0.125
1343,comprised,0.125
1344,aggressively,0.5
1345,Smart,-0.625
1346,spends,0.125
1347,ridiculous,-0.625
1348,naturally,-0.125
1349,slammed,0.25
1350,teenage,0.125
1351,regarded,0.125
1352,liable,-0.75
1353,pets,-0.125
1354,enforce,-0.125
1355,adverse,-0.375
1356,trusted,0.375
1357,Buy,0.5
1358,kidnapped,-0.125
1359,pink,-0.125
1360,lucrative,0.75
1361,hostile,0.125
1362,indoor,0.125
1363,Researchers,1.0
1364,firmly,0.5
1365,Sr.,0.375
1366,horror,0.125
